영문공항명,한글공항,공항코드1(IATA),공항코드2(ICAO),지역,영문국가명,한글국가명,영문도시명,한글도시명
Srednekolymsk Airport,스레드네콜림스크 공항,SEK,n/a,유럽,Russian Federation,러시아,Srednekolymsk,스레드네콜림스크
Srinagar Airport,셰이크 울 알람 국제공항,SXR,VISR,아시아태평양,India,인도,Srinagar,스리나가르
St Augustine Northeast Florida Regional Airport,노스이스트 플로리다 지역공항,UST,KSGJ,북아메리카,United States of America,미국,St. Augustine,세인트오거스틴
St Catherine International Airport,세인트 캐서린 국제공항,SKV,HESC,아프리카,Egypt,이집트,Saint Catherine,세인트 캐서린
St Clair County International Airport,세인트 클레어 카운티 국제공항,PHN,KPHN,북아메리카,United States of America,미국,Port Huron,포트 휴런
St Cloud Regional Airport,세인트 클라우드 공항,STC,KSTC,북아메리카,United States of America,미국,St. Cloud,세인트 클라우드
St Gallen-Altenrhein Airport,장크트갈렌 알텐라인 공항,ACH,LSZR,유럽,Switzerland,스위스,St Gallen-Altenrhein,장크트갈렌
St George Regional Airport,세인트 조지 공항,SGU,KSGU,북아메리카,United States of America,미국,St George,세인트 조지
St John's International Airport,세인트 존스 국제공항,YYT,CYYT,북아메리카,Canada,캐나다,St. Johns,세인트존스
St Louis Downtown Airport,세인트루이스 다운타운 공항,CPS,n/a,북아메리카,United States of America,미국,Cahokia,카호키아
St Louis Lambert International Airport,램버트 세인트루이스 국제공항,STL,KSTL,북아메리카,United States of America,미국,St. Louis,세인트루이스
St Louis MidAmerica Airport,미드아메리카 세인트루이스 공항,BLV,KBLV,북아메리카,United States of America,미국,Belleville,벨빌
St Peter-Ording Airport,장크트 페터 오르딩 공항,PSH,n/a,유럽,Germany,독일,Sankt Peter-Ording,장크트페터오르딩
Stagen Gusti Syamsir Alam Airport,구스티 샴시르 알람 공항,KBU,WAOK,아시아태평양,Indonesia,인도네시아,Kotabaru,코타바루
Staniel Cay Airport,스타니엘 케이 공항,TYM,MYES,카리브해,Bahamas,바하마,Staniel Cay,스타니엘케이
State College Pennsylvania University Park Airport,스테이트 칼리지 지역공항,SCE,KUNV,북아메리카,United States of America,미국,State College,스테이트칼리지
Stavanger Sola Airport,스타방에르 공항 솔라,SVG,ENZV,유럽,Norway,노르웨이,Stavanger,스타방에르
Stavropol Shpakovskoye Airport,스타브로폴 슈파콥스코예 공항,STW,URMT,유럽,Russian Federation,러시아,Stavropol,스타브로폴
Steamboat Springs Airport,스팀보트 스프링스 공항,SBS,KSBS,북아메리카,United States of America,미국,Steamboat Springs,스팀보트스프링스
Stebbins Airport,스테빈스 공항,WBB,n/a,북아메리카,United States of America,미국,Stebbins,스테빈스
Stella Maris Estate Airstrip,스텔라 마리스 공항,SML,MYLS,카리브해,Bahamas,바하마,Stella Maris,스텔라마리스
Stepanavan Airport,스테파나반 공항,n/a,UDLS,유럽,Armenia,아르메니아,Stepanavan,스테파나반
Stephenville Dymond International Airport,스테판빌 국제공항,YJT,CYJT,북아메리카,Canada,캐나다,Stephenville,스테픈빌
Stevens Village Airport,스티븐스 빌리지 공항,SVS,n/a,북아메리카,United States of America,미국,Stevens Village,스티븐스빌리지
Stillwater Regional Airport,스틸워터 공항,SWO,KSWO,북아메리카,United States of America,미국,Stillwater,스틸워터
Stinson Municipal Airport,스틴슨 공항,SSF,KSSF,북아메리카,United States of America,미국,San Antonio,샌안토니오
Stockholm Arlanda Airport,스톡홀름 알란다 공항,ARN,ESSA,유럽,Sweden,스웨덴,Stockholm,스톡홀름
Stockholm Bromma Airport,스톡홀름 브롬마 공항,BMA,ESSB,유럽,Sweden,스웨덴,Stockholm,스톡홀름
Stockholm Skavsta Airport,스톡홀름 스카브스타 공항,NYO,ESKN,유럽,Sweden,스웨덴,Skavsta,스카브스타
Stockholm Vasteras Airport,스톡홀름 베스테로스 공항,VST,ESOW,유럽,Sweden,스웨덴,Vasteras,베스테로스
Stockton Metropolitan Airport,스톡턴 메트로폴리탄 공항,SCK,KSCK,북아메리카,United States of America,미국,Stockton,스톡턴
Stokmarknes Skagen Airport,스톡마크네스 공항,SKN,ENSK,유럽,Norway,노르웨이,Stokmarknes,스톡마르크네스
Stony Rapids Airport,스토니래피즈 공항,YSF,CYSF,북아메리카,Canada,캐나다,Stony Rapids,스토니래피즈
Stony River Airport,스토니 리버 공항,SRV,n/a,북아메리카,United States of America,미국,Stony River,스토니리버
Stord Airport,스트로드 공항,SRP,ENSO,유럽,Norway,노르웨이,Stord,스토르
Stornoway Airport,스토노웨이 공항,SYY,EGPO,유럽,United Kingdom,영국,Stornoway,스토노웨이
Storuman Gunnarn Airport,스토루만 공항,SQO,ESUD,유럽,Sweden,스웨덴,Storuman,스토루만
Strahan Airport,스트라한 공항,SRN,YSRN,아시아태평양,Australia,오스트레일리아,Strahan,스트라한
Strasbourg Entzheim Airport,스트라스부르 공항,SXB,LFST,유럽,France,프랑스,Strasbourg,스트라스부르
Straubing Wallmuehle Airport,스트라우빙 발뮐레 공항,RBM,EDMS,유럽,Germany,독일,Straubing,스트라우빙
Strezhevoy Airport,스트레체보이 공항,SWT,UNSS,유럽,Russian Federation,러시아,Strezhevoy,스트레체보이
Stronsay Airport,스트론세이 공항,SOY,EGER,유럽,United Kingdom,영국,Stronsay,스트론세이
Stuart Island Airport,스튜어트 아일랜드 활주로,YRR,n/a,북아메리카,Canada,캐나다,Stuart Island,스튜어트아일랜드
Stupino Airport,스투피노 공항,n/a,UUBW,유럽,Russian Federation,러시아,Stupino,스투피노
Stuttgart Airport,슈투트가르트 공항,STR,EDDS,유럽,Germany,독일,Stuttgart,슈투트가르트
Stuttgart Municipal(US) Airport,슈투트가르트(미국) 공항,SGT,KSGT,북아메리카,United States of America,미국,Stuttgart,슈투트가르트
Suavanao Airstrip,수아바나오 공항,VAO,AGGV,아시아태평양,Solomon Islands,솔로몬 제도,Suavanao,수아바나오
Subang Airport,수방 공항,SZB,WMSA,아시아태평양,Malaysia,말레이시아,Kuala Lumpur,쿠알라룸푸르
Subic Bay International Airport,수빅 베이 국제공항,SFS,RPLB,아시아태평양,Philippines,필리핀,Subic Bay,수빅 베이
Suceava stefan cel Mare Airport,수체아바 국제공항,SCV,LRSV,유럽,Romania,루마니아,Suceava,수체아바
Sucre Alcantari Airport,알칸타리 공항,SRE,SLAL,라틴아메리카,Bolivia,볼리비아,Sucre,수크레
Sui Airport,수이공항,SUL,OPSU,아시아태평양,Pakistan,파키스탄,Sui,수이
Suifenhe Dongning Airport,수이펀허 동닝 공항,HSF,ZYSD,아시아태평양,China,중국,Suifenhe,수이펀허
Sukhothai Airport,수코타이 공항,THS,VTPO,아시아태평양,Thailand,태국,Sukhothai,수코타이
Sukhumi Babushara Airport,수쿠미 바부샤라 공항,SUI,n/a,유럽,Georgia,조지아,Sukhumi,수후미
Suki Airport,스키 공항,SKC,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Suki,스키
Sukkur Airport,수쿠르 공항,SKZ,OPSK,아시아태평양,Pakistan,파키스탄,Sukkur,수쿠르
Sulaymaniyah International Airport,술라이마니야 국제공항,ISU,ORSU,중동,Iraq,이라크,Sulaymaniyah,술라이마니야
Sullivan Bay Airport,설리번 베이 수상 비행장,YTG,n/a,북아메리카,Canada,캐나다,Sullivan Bay,설리번 베이
Sulphur Springs Airport,설파 스프링스 공항,SLR,KSLR,북아메리카,United States of America,미국,Sulphur Springs,설파 스프링스
Sumarorong Mamasa Airport,수마로롱 마마사 공항,n/a,WAFJ,아시아태평양,Indonesia,인도네시아,Sumarorong,수마로롱
Sumbawa Besar Sultan Muhammad Kaharuddin Airport,술탄 무하마드 카하루딘 3세 공항,SWQ,WADS,아시아태평양,Indonesia,인도네시아,Sumbawa,숨바와
Sumbawanga Airport,숨바왕가 공항,SUT,HTSU,아프리카,Tanzania,탄자니아,Sumbawanga,숨바왕가
Sumenep Trunojoyo Airport,트루노조요 공항,SUP,WART,아시아태평양,Indonesia,인도네시아,Trunojoyo,수메넵
Summer Beaver Airport,서머 비버 공항,SUR,n/a,북아메리카,Canada,캐나다,Summer Beaver,서머 비버
Sumy Airport,수미 공항,UMY,UKHS,유럽,Ukraine,우크라이나,Sumy,수미
Sun Valley Friedman Memorial Airport,프리드먼 메모리얼 공항,SUN,KSUN,북아메리카,United States of America,미국,Hailey-Sun Valley,선밸리
Sunchales Airport,순찰레스 에어로클럽 공항,NCJ,n/a,라틴아메리카,Argentina,아르헨티나,Sunchales,순찰레스
Sundsvall Timra Airport,순스발 티므루 공항,SDL,ESNN,유럽,Sweden,스웨덴,Sundsvall-HArnsand,순스발-헤르뇌산드
Sunshine Coast Airport,선샤인 코스트 공항,MCY,YBSU,아시아태평양,Australia,오스트레일리아,Sunshine Coast,선샤인 코스트
Suntar Airport,순타르 공항,SUY,n/a,유럽,Russian Federation,러시아,Suntar,순타르
Sunyani Airport,쑤냐니 공항,NYI,DGSN,아프리카,Ghana,가나,Sunyani,쑤냐니
Surabaya Juanda Airport,주안다 국제공항,SUB,WARR,아시아태평양,Indonesia,인도네시아,Surabaya,수라바야
Surat Airport,수랏 공항,STV,VASU,아시아태평양,India,인도,Surat,수랏
Surat Thani Airport,수랏타니 공항,URT,VTSB,아시아태평양,Thailand,태국,Surat Thani,수랏타니
Surgut Airport,수르구트 국제공항,SGC,USRR,유럽,Russian Federation,러시아,Surgut,수르구트
Surigao Airport,수리가오 공항,SUG,RPMS,아시아태평양,Philippines,필리핀,Surigao,수리가오
Surkhet Airport,수르케트 공항,SKH,VNSK,아시아태평양,Nepal,네팔,Surkhet,수르케트
Suva Nausori International Airport,나우소리 국제공항,SUV,NFNA,아시아태평양,Fiji,피지,Suva,수바
Suwalki Airport,수발키 공항,n/a,EPSU,유럽,Poland,폴란드,Suwalki,수바우키
Sveg Airport,스베그 공항,EVG,ESND,유럽,Sweden,스웨덴,Sveg,스베그
Svetlaya Airport,스베틀라야 공항,ETL,UHTQ,유럽,Russian Federation,러시아,Svetl라야,스베틀라야
Svolvaer Helle Airport,스볼베르 공항,SVJ,ENSH,유럽,Norway,노르웨이,Svolvaer,스볼베르
Swan River Airport,스완 리버 공항,ZJN,CZJN,북아메리카,Canada,캐나다,Swan River,스완리버
Swansea Airport,스완지 공항,SWS,EGFH,유럽,United Kingdom,영국,Swansea,스완지
Sydney Bankstown Airport,뱅크스타운 공항,BWU,YSBK,아시아태평양,Australia,오스트레일리아,Bankstown,뱅크스타운
Sydney Camden Airport,캠든 공항,CDU,YSCN,아시아태평양,Australia,오스트레일리아,Camden,캠던
Sydney Kingsford Smith Airport,시드니 공항,SYD,YSSY,아시아태평양,Australia,오스트레일리아,Sydney,시드니
Syktyvkar Airport,식티브카르 공항,SCW,UUYY,유럽,Russian Federation,러시아,Syktyvkar,식티프카르
Sylhet Osmani International Airport,오스마니 국제공항,ZYL,VGSY,아시아태평양,Bangladesh,방글라데시,Sylhet,실헛
Syracuse Hancock International Airport,시러큐스 핸콕 국제공항,SYR,KSYR,북아메리카,United States of America,미국,Syracuse,시러큐스
Syros Island Dimitrios Vikelas Airport,시로스 아일랜드 내셔널 공항,JSY,LGSO,유럽,Greece,그리스,Syros,시로스
Syunik Airport,슈니크 공항,YUK,n/a,유럽,Armenia,아르메니아,Syunik,슈니크
Szczecin Goleniow Airport,연대 슈체친 골레니우프 공항,SZZ,EPSC,유럽,Poland,폴란드,Szczecin,슈체친
Taba International Airport,타바 국제공항,TCP,HETB,아프리카,Egypt,이집트,Taba,타바
Tabarka Ain Draham Airport,타바르카 아인 드라함 국제공항,TBJ,DTKA,아프리카,Tunisia,튀니지,Tabarka,타바르카
Tabas Airport,타바스 공항,TCX,OIMT,중동,Iran,이란,Tabas,타바스
Tabatinga Airport,타바팅가 국제공항,TBT,SBTT,라틴아메리카,Brazil,브라질,Tabatinga,타바팅가
Tabiteuea North Airport,타비테우에아 북공항,TBF,NGTE,아시아태평양,Kiribati,키리바시,Tabiteuea North,타비테우에아노스
Tabiteuea South Airport,타비테우에아 사우스 공항,TSU,NGTS,아시아태평양,Kiribati,키리바시,Tabiteuea South,타비테우에아사우스
Tabora Airport,타보라 공항,TBO,HTTB,아프리카,Tanzania,탄자니아,Tabora,타보라
Tabriz Airport,타브리즈 국제공항,TBZ,OITT,중동,Iran,이란,Tabriz,타브리즈
Tabubil Airport,타부빌 공항,TBG,AYTB,아시아태평양,Papua New Guinea,파푸아뉴기니,Tabubil,타부빌
Tabuk Airport,타부크 공항,TUU,OETB,중동,Saudi Arabia,사우디아라비아,Tabuk,타부크
Tacheng Airport,타청 공항,TCG,ZWTC,아시아태평양,China,중국,Tacheng,타청
Tachilek Airport,타칠렉 공항,THL,n/a,아시아태평양,Myanmar,미얀마,Tachilek,타칠레익
Tacloban Daniel Z Romualdez Airport,다니엘 Z. 로무알데스 공항,TAC,RPVA,아시아태평양,Philippines,필리핀,Tacloban,타클로반
Tacna Airport,코로넬 FAP 카를로스 시리아니 산타 로사 국제공항,TCQ,SPTN,라틴아메리카,Peru,페루,Tacna,타크나
Tacoma Gray Army Airport,회색 육군 비행장,GRF,n/a,북아메리카,United States of America,미국,Tacoma,타코마
Tacoma Narrows Airport,타코마 내로스 공항,TIW,KTIW,북아메리카,United States of America,미국,Tacoma,타코마
Tadoule Lake Airport,타둘레 레이크 공항,XTL,n/a,북아메리카,Canada,캐나다,Tadoule Lake,타둘레레이크
Taganrog Airport,타간로크 공항,TGK,n/a,유럽,Russian Federation,러시아,Taganrog,타간로크
Tahoua Airport,타후아 공항,THZ,DRRT,아프리카,Niger,니제르,Tahoua,타후아
Tahuna Naha Airport,나하 공항,NAH,WAMH,아시아태평양,Indonesia,인도네시아,Tahuna,타후나
Taichung International Airport,타이중 공항,RMQ,RCMQ,아시아태평양,Taiwan,대만,Taichung,타이중
Taif International Airport,타이프 공항,TIF,OETF,중동,Saudi Arabia,사우디아라비아,Taif,타이프
Tainan Airport,타이난 공항,TNN,RCNN,아시아태평양,Taiwan,대만,Tainan,타이난
Taipei Songshan Airport,타이베이 쑹산 공항,TSA,RCSS,아시아태평양,Taiwan,대만,Taipei,타이베이
Taisha Airport,타이샤 공항,TSC,SETH,라틴아메리카,Ecuador,에콰도르,Taisha,타이샤
Taitung Airport,타이동 공항,TTT,RCFN,아시아태평양,Taiwan,대만,Taitung,타이둥
Taiwan Taoyuan International Airport,타이완 타오위안 국제공항,TPE,RCTP,아시아태평양,Taiwan,대만,Taipei,타이베이
Taiyuan Wusu International Airport,타이위안 우수 국제공항,TYN,ZBYN,아시아태평양,China,중국,Taiyuan,타이위안
Taiz Al Janad Airport,타이즈 국제공항,TAI,n/a,중동,Yemen,예멘,Taiz,타이즈
Taizhou Luqiao Airport,타이저우 루차오 공항,HYN,ZSLQ,아시아태평양,China,중국,Taizhou,타이저우
Tak Airport,탁 공항,TKT,VTPT,아시아태평양,Thailand,태국,Tak,탁
Takaka Airport,다카카 비행장,KTF,NZTK,아시아태평양,New Zealand,뉴질랜드,Takaka,타카카
Takamatsu Airport,다카마쓰 공항,TAK,RJOT,아시아태평양,Japan,일본,Takamatsu,타카마쓰
Takapoto Airport,다카포토 공항,TKP,NTGT,아시아태평양,French Polynesia,프랑스령 폴리네시아,Takapoto,타카포토
Takaroa Airport,다카로아 공항,TKX,NTKR,아시아태평양,French Polynesia,프랑스령 폴리네시아,Takaroa,타카로아
Takengon Rembele Airport,렘벨레 공항,TXE,WITK,아시아태평양,Indonesia,인도네시아,Takengon,타켄공
Takoradi Airport,타코라디 공항,TKD,DGTK,아프리카,Ghana,가나,Takoradi,타코라디
Takotna Airport,타코트나 공항,TCT,n/a,북아메리카,United States of America,미국,Takotna,타코트나
Takume Airport,다쿠메 공항,TJN,NTKM,아시아태평양,French Polynesia,프랑스령 폴리네시아,Takume,타쿠메
Talakan Airport,탈라칸 공항,TLK,UECT,유럽,Russian Federation,러시아,Talakan,탈라칸
Talara Airport,카피탄 FAP 빅토르 몬테스 아리아스 국제공항,TYL,SPYL,라틴아메리카,Peru,페루,Talara,탈라라
Talas Airport,탈라스 공항,n/a,UAFT,아시아태평양,Kyrgyzstan,키르기스스탄,Talas,탈라스
Talca Airport,팡길레모 공항,TLX,n/a,라틴아메리카,Chile,칠레,Talca,탈카
Taldykorgan Airport,탈디코간 공항,TDK,UAAT,아시아태평양,Kazakhstan,카자흐스탄,Taldykorgan,탈디코르간
Tallahassee International Airport,탤러해시 국제공항,TLH,KTLH,북아메리카,United States of America,미국,Tallahassee,탤러해시
Tallinn Lennart Meri Airport,탈린 공항,TLL,EETN,유럽,Estonia,에스토니아,Tallinn,탈린
Taloyoak Airport,탈로요크 공항,YYH,CYYH,북아메리카,Canada,캐나다,Taloyoak,탈로요아크
Tamale Airport,타말레 공항,TML,DGLE,아프리카,Ghana,가나,Tamale,타말레
Tamana Airport,다마나 공항,TMN,NGTM,아시아태평양,Kiribati,키리바시,Tamana,타마나
Tamarindo Airport,타마린도 공항,TNO,MRTM,라틴아메리카,Costa Rica,코스타리카,Tamarindo,타마린도
Tambacounda Airport,탐바쿤다 공항,TUD,n/a,아프리카,Senegal,세네갈,Tambacounda,탐바쿤다
Tambelan Airport,탐벨란 공항,TBX,n/a,아시아태평양,Indonesia,인도네시아,Tambelan,탐벨란
Tambolaka Airport,레데 칼룸방 공항,TMC,WATK,아시아태평양,Indonesia,인도네시아,Tambolaka,탐볼라카
Tambor Airport,탐보르 공항,TMU,MRTR,라틴아메리카,Costa Rica,코스타리카,Tambor,탐보르
Tambov Donskoye Airport,탐보프 돈스코예 공항,TBW,UUOT,유럽,Russian Federation,러시아,Tambov,탐보프
Tambrauw Werur Airport,탐브라우 웨루르 공항,WRR,WAJY,아시아태평양,Indonesia,인도네시아,Tambrauw,탐브라우
Tamchy Issyk-Kul International Airport,이시크쿨 국제공항,IKU,UCFL,아시아태평양,Kyrgyzstan,키르기스스탄,Tamchy,탐치
Tame Airport,가브리엘 바르가스 산토스 공항,TME,SKTM,라틴아메리카,Colombia,콜롬비아,Tame,타메
Tamenghest Aguenar Airport,타만라세트 공항,TMR,DAAT,아프리카,Algeria,알제리,Tamanrasset,타만라세트
Tampa International Airport,탬파 국제공항,TPA,KTPA,북아메리카,United States of America,미국,Tampa,탬파
Tampa St Pete-Clearwater International Airport,세인트피트 클리어워터 국제공항,PIE,KPIE,북아메리카,United States of America,미국,St. Petersburg,세인트피터즈버그
Tampere-Pirkkala Airport,탐페레 피르칼라 공항,TMP,EFTP,유럽,Finland,핀란드,Tampere,탐페레
Tampico Gen F Javier Mina Airport,제너럴 프란시스코 하비에르 미나 국제공항,TAM,MMTM,라틴아메리카,Mexico,멕시코,Tampico,탐피코
Tamuin National Airport,타무인 공항,TSL,MMTN,라틴아메리카,Mexico,멕시코,Tamuin,타무인
Tamworth Airport,탬워스 공항,TMW,YSTW,아시아태평양,Australia,오스트레일리아,Tamworth,탐워스
Tana Toraja Airport,타나 토라자 공항,TRT,WAFB,아시아태평양,Indonesia,인도네시아,Tana,타나토라자
Tanahmerah,타나 메라 공항,TMH,WAKT,아시아태평양,Indonesia,인도네시아,Tanahmerah,타나메라
Tanana Ralph Calhoun Airport,랄프 M. 칼훈 메모리얼 공항,TAL,n/a,북아메리카,United States of America,미국,Tanana,태나나
Tandag Airport,탄다그 공항,TDG,RPWW,아시아태평양,Philippines,필리핀,Tandag,탄다그
Tanegashima Airport,신다네가시마 공항,TNE,RJFG,아시아태평양,Japan,일본,Tanegashima,다네가시마
Tanga Airport,탕가 공항,TGT,HTTG,아프리카,Tanzania,탄자니아,Tanga,탕가
Tangara da Serra Airport,탕가라 다 세라 공항,TGQ,SWTS,라틴아메리카,Brazil,브라질,Tangara,탕가라다세라
Tangerang Budiarto Airport,탕에랑 부디아르토 공항,RTO,WIRR,아시아태평양,Indonesia,인도네시아,Tangerang,탕에랑
Tangier Ibn Batouta Airport,탕헤르 이븐 바투타 공항,TNG,GMTT,아프리카,Morocco,모로코,Tangier,탕헤르
Tangshan Sannuhe Airport,탕산 산뉘허 공항,TVS,ZBTS,아시아태평양,China,중국,Tangshan,탕산
Tanjung Balai Sei Bati Airport,세이바티 공항,TJB,WIBT,아시아태평양,Indonesia,인도네시아,Tanjung Balai,탄중발라이
Tanjung Manis Airport,탄중 마니스 공항,TGC,WBGT,아시아태평양,Malaysia,말레이시아,Tanjung Manis,탄중마니스
Tanjung Pandan Hanandjoeddin Airport,불루툼방 공항,TJQ,WIOD,아시아태평양,Indonesia,인도네시아,Tanjung Pandan,탄중판단
Tanjung Pinang Raja Haji Fisabilillah Airport,라자하지피사빌라 공항,TNJ,WIDN,아시아태평양,Indonesia,인도네시아,Tanjung Pinang,탄중피낭
Tanjung Selor Airport,탄중 하라판 공항,TJS,WALG,아시아태평양,Indonesia,인도네시아,Tanjung Selor,탄중셀로르
Tanjung Warukin Airport,와루킨 공항,TJG,WRBN,아시아태평양,Indonesia,인도네시아,Tanjung,탄중
Tanna Airport,화이트그래스 공항,TAH,NVVW,아시아태평양,Vanuatu,바누아투,Tanna Island,타나섬
Tan-Tan Plage Blanche Airport,탄탄 공항,TTA,GMAT,아프리카,Morocco,모로코,Tan-Tan,탄탄
Taos Regional Airport,타오스 지역공항,TSM,KSKX,북아메리카,United States of America,미국,Taos,타오스
Tapachula International Airport,타파출라 국제공항,TAP,MMTP,라틴아메리카,Mexico,멕시코,Tapachula,타파출라
Tapini Airport,타피니 공항,TPI,n/a,아시아태평양,Papua New Guinea,파푸아뉴기니,Tapini,타피니
Taplejung Airport,타평정 공항,TPJ,VNTJ,아시아태평양,Nepal,네팔,Taplejung,타플레중
Tarakan Juwata Airport,주와타 국제공항,TRK,WALR,아시아태평양,Indonesia,인도네시아,Tarakan,타라칸
Tarama Island Airport,타라마 공항,TRA,RORT,아시아태평양,Japan,일본,Tarama,타라마
Taranto-Grottaglie Airport,타란토 그로타글리 공항,TAR,LIBG,유럽,Italy,이탈리아,Taranto,타란토
Tarapaca Airport,타라파카 공항,TCD,n/a,라틴아메리카,Colombia,콜롬비아,Tarapaca,타라파카
Tarapoa Airport,타라포아 공항,TPC,n/a,라틴아메리카,Ecuador,에콰도르,Tarapoa,타라포아
Tarapoto Airport,캐디드 FAP 기예르모 델 카스티요 파레데스 공항,TPP,SPST,라틴아메리카,Peru,페루,Tarapoto,타라포토
Tarawa Bonriki Airport,본리키 국제공항,TRW,NGTA,아시아태평양,Kiribati,키리바시,Tarawa,타라와
Taraz Airport,타라즈 공항,DMB,UADD,아시아태평양,Kazakhstan,카자흐스탄,Taraz,타라즈
Tarbes Lourdes Pyrenees Airport,타르브 루르드 피레네 공항,LDE,LFBT,유럽,France,프랑스,Tarbes-Lourdes,타르브 루르드
Taree Airport,타리 공항,TRO,YTRE,아시아태평양,Australia,오스트레일리아,Taree,타리
Tari Airport,타리 공항,TIZ,AYTA,아시아태평양,Papua New Guinea,파푸아뉴기니,Tari,타리
Tarija Airport,캡틴 오리엘 레아 플라자 공항,TJA,SLTJ,라틴아메리카,Bolivia,볼리비아,Tarija,타리하
Tarko-Sale Airport,타르코살레 공항,TQL,n/a,유럽,Russian Federation,러시아,Tarko-Sale,타르코살레
Taroa Island Maloelap Airport,말로엘랍 공항,MAV,n/a,아시아태평양,Marshall Islands,마샬 군도,Maloelap Atol,말로엘랍
Taroom Airport,타룸 공항,XTO,YTAM,아시아태평양,Australia,오스트레일리아,Taroom,타룸
Tartagal Airport,타르타갈 공항,TTG,SAST,라틴아메리카,Argentina,아르헨티나,Tartagal,타르타갈
Tartu Ulenurme Airport,타르투 공항,TAY,EETU,유럽,Estonia,에스토니아,Tartu,타르투
Tashkent Islam Karimov International Airport,타슈켄트 국제공항,TAS,UZTT,아시아태평양,Uzbekistan,우즈베키스탄,Tashkent,타슈켄트
Tashkent-Vostochny Airport,타슈켄트-보스토치니 공항,n/a,UZTP,아시아태평양,Uzbekistan,우즈베키스탄,Tashkent,타슈켄트
Tashkurgan Airport,타슈쿠르간 공항,HQL,n/a,아시아태평양,China,중국,Tashkurgan,타슈쿠르간
Tashtagol Airport,타슈타고르 공항,n/a,UNRT,유럽,Russian Federation,러시아,Tashtagol,타슈타골
Tasiilaq Airport,타실라크 공항,AGM,n/a,유럽,Greenland,그린란드,Tasiilaq,타실라크
Tasikmalaya Cibeureum Airport,타식말라야 공항,TSY,WICM,아시아태평양,Indonesia,인도네시아,Tasikmalaya,타식말라야
Tasiujuaq Airport,타시우자크 공항,YTQ,n/a,북아메리카,Canada,캐나다,Tasiujaq,타시우자크
Tasiusaq Heliport,타시우사크 헬리포트,XEQ,BGTQ,유럽,Greenland,그린란드,Tasiusaq,타시우사크
Tatakoto Tuamoto  Airport,다타코토 공항,TKV,NTGO,아시아태평양,French Polynesia,프랑스령 폴리네시아,Tatakoto,타타코토
Tatalina LRRS,타탈리나 레이더기지,n/a,PATL,북아메리카,United States of America,미국,Tatalina,타탈리나
Tatitlek Airport,타타이틀크 공항,TEK,PAKA,북아메리카,United States of America,미국,Tatitlek,태티틀렉
Taupo Airport,타우포 공항,TUO,NZAP,아시아태평양,New Zealand,뉴질랜드,Taupo,타우포
Tauranga Airport,타우랑가 공항,TRG,NZTG,아시아태평양,New Zealand,뉴질랜드,Tauranga,타우랑가
Taveuni Matei Airport,마테이 공항,TVU,n/a,아시아태평양,Fiji,피지,Taveuni,타베우니
Tawau Airport,타와우 공항,TWU,WBKW,아시아태평양,Malaysia,말레이시아,Tawau,타와우
Tawitawi Airport,상가상가 공항,TWT,RPMN,아시아태평양,Philippines,필리핀,Tawitawi Island,타위타위섬
Taytay Sandoval CLR Airport,세자르 림 로드리게스 공항,RZP,n/a,아시아태평양,Philippines,필리핀,Taytay,타이타이
Tbilisi International Airport,트빌리시 국제공항,TBS,UGTB,유럽,Georgia,조지아,Tbilisi,트빌리시
Te Anau Manapouri Airport,테아나우 공항,TEU,NZMO,아시아태평양,New Zealand,뉴질랜드,Te Anau,테아나우
Tebessa Airport,테베사 공항,TEE,DABS,아프리카,Algeria,알제리,Tebessa,테베사
Ted Stevens Anchorage International Airport,테드 스티븐스 앵커리지 국제공항,ANC,PANC,북아메리카,United States of America,미국,Anchorage,앵커리지
Teesside International Airport,티스사이드 국제공항,MME,EGNV,유럽,United Kingdom,영국,Durham,더럼
Tefe Mayor Orlando Marinho Airport,테페 공항,TFF,SBTF,라틴아메리카,Brazil,브라질,Tefe,테페
Tegucigalpa Toncontin International Airport,톤콘틴 국제공항,TGU,MHTG,라틴아메리카,Honduras,온두라스,Tegucigalpa,테구시갈파
Tehran Imam Khomeini International Airport,테헤란 이맘 호메이니 국제공항,IKA,OIIE,중동,Iran,이란,Tehran,테헤란
Tehran Mehrabad Airport,메흐라바드 국제공항,THR,OIII,중동,Iran,이란,Tehran,테헤란
Tehuacan National Airport,테우아칸 공항,TCN,MMHC,라틴아메리카,Mexico,멕시코,Tehuacan,테우아칸
Teixeira de Freitas Airport,테세이라 데 프레이타스 공항,TXF,n/a,라틴아메리카,Brazil,브라질,Teixeira de Freitas,테세이라데프레이타스
Tekirdag Corlu Ataturk Airport,테키르다 촐루 공항,TEQ,LTBU,중동,Turkiye,터키,Tekirdag,테키르다
Tel Aviv Ben Gurion International Airport,벤구리온 공항,TLV,LLBG,중동,Israel,이스라엘,Tel Aviv,텔아비브
Tela Airport,텔라 공항,TEA,MHTE,라틴아메리카,Honduras,온두라스,Tela,텔라
Telavi Erekle II Airport,텔라비 에레클레 2세 공항,n/a,UGGT,유럽,Georgia,조지아,Telavi,텔라비
Telfer Airport,텔퍼 공항,TEF,YTEF,아시아태평양,Australia,오스트레일리아,Telfer,텔퍼
Teller Airport,텔러 공항,TLA,PATE,북아메리카,United States of America,미국,Teller,텔러
